close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,stock_code,volume
966.65,2024-03-01 09:15:00,NFO,28-MAR-2024,967.5,961.0,961.0,61611300,Futures,TATMOT,433200
968.0,2024-03-01 09:16:00,NFO,28-MAR-2024,970.5,968.0,968.0,61611300,Futures,TATMOT,574275
967.25,2024-03-01 09:17:00,NFO,28-MAR-2024,968.75,967.0,968.1,61611300,Futures,TATMOT,527250
970.1,2024-03-01 09:18:00,NFO,28-MAR-2024,970.5,967.0,967.25,61626975,Futures,TATMOT,337725
967.8,2024-03-01 09:19:00,NFO,28-MAR-2024,970.6,967.8,970.05,61626975,Futures,TATMOT,208050
968.55,2024-03-01 09:20:00,NFO,28-MAR-2024,968.8,967.0,967.85,61626975,Futures,TATMOT,192375
967.25,2024-03-01 09:21:00,NFO,28-MAR-2024,969.6,967.25,968.7,61631250,Futures,TATMOT,138225
968.25,2024-03-01 09:22:00,NFO,28-MAR-2024,968.25,966.6,967.25,61631250,Futures,TATMOT,91200
967.8,2024-03-01 09:23:00,NFO,28-MAR-2024,968.8,967.75,968.65,61631250,Futures,TATMOT,115425
968.45,2024-03-01 09:24:00,NFO,28-MAR-2024,968.6,967.65,967.75,61639800,Futures,TATMOT,54150
970.75,2024-03-01 09:25:00,NFO,28-MAR-2024,970.75,968.3,968.55,61639800,Futures,TATMOT,210900
973.9,2024-03-01 09:26:00,NFO,28-MAR-2024,974.1,970.7,970.75,61639800,Futures,TATMOT,515850
974.0,2024-03-01 09:27:00,NFO,28-MAR-2024,974.9,973.5,973.95,61712475,Futures,TATMOT,404700
977.0,2024-03-01 09:28:00,NFO,28-MAR-2024,977.5,973.9,974.0,61712475,Futures,TATMOT,679725
976.25,2024-03-01 09:29:00,NFO,28-MAR-2024,977.0,975.95,977.0,61712475,Futures,TATMOT,275025
975.7,2024-03-01 09:30:00,NFO,28-MAR-2024,977.1,975.4,976.3,61819350,Futures,TATMOT,300675
975.0,2024-03-01 09:31:00,NFO,28-MAR-2024,975.95,974.25,975.65,61819350,Futures,TATMOT,235125
974.75,2024-03-01 09:32:00,NFO,28-MAR-2024,975.4,974.3,975.0,61819350,Futures,TATMOT,99750
974.65,2024-03-01 09:33:00,NFO,28-MAR-2024,975.95,974.5,974.8,61826475,Futures,TATMOT,139650
975.05,2024-03-01 09:34:00,NFO,28-MAR-2024,975.2,974.4,974.65,61826475,Futures,TATMOT,118275
973.4,2024-03-01 09:35:00,NFO,28-MAR-2024,975.05,973.4,975.05,61826475,Futures,TATMOT,88350
974.3,2024-03-01 09:36:00,NFO,28-MAR-2024,974.8,973.4,973.6,61846425,Futures,TATMOT,129675
973.45,2024-03-01 09:37:00,NFO,28-MAR-2024,974.4,973.45,974.3,61846425,Futures,TATMOT,84075
973.9,2024-03-01 09:38:00,NFO,28-MAR-2024,974.8,973.45,973.45,61846425,Futures,TATMOT,82650
974.0,2024-03-01 09:39:00,NFO,28-MAR-2024,974.35,973.0,973.9,61833600,Futures,TATMOT,89775
975.6,2024-03-01 09:40:00,NFO,28-MAR-2024,975.7,974.2,974.25,61833600,Futures,TATMOT,163875
974.7,2024-03-01 09:41:00,NFO,28-MAR-2024,976.1,974.7,975.6,61833600,Futures,TATMOT,98325
974.65,2024-03-01 09:42:00,NFO,28-MAR-2024,974.85,974.2,974.7,61856400,Futures,TATMOT,79800
973.65,2024-03-01 09:43:00,NFO,28-MAR-2024,974.65,973.5,974.65,61856400,Futures,TATMOT,68400
974.45,2024-03-01 09:44:00,NFO,28-MAR-2024,974.8,973.65,973.65,61856400,Futures,TATMOT,95475
974.45,2024-03-01 09:45:00,NFO,28-MAR-2024,975.5,974.15,974.4,61870650,Futures,TATMOT,125400
973.5,2024-03-01 09:46:00,NFO,28-MAR-2024,974.45,973.1,974.45,61870650,Futures,TATMOT,101175
973.1,2024-03-01 09:47:00,NFO,28-MAR-2024,973.65,972.6,973.05,61870650,Futures,TATMOT,81225
972.35,2024-03-01 09:48:00,NFO,28-MAR-2024,973.6,972.2,973.1,61873500,Futures,TATMOT,58425
973.05,2024-03-01 09:49:00,NFO,28-MAR-2024,973.35,972.0,972.35,61873500,Futures,TATMOT,88350
972.45,2024-03-01 09:50:00,NFO,28-MAR-2024,973.65,972.45,973.4,61873500,Futures,TATMOT,55575
972.55,2024-03-01 09:51:00,NFO,28-MAR-2024,973.65,972.35,972.45,61886325,Futures,TATMOT,42750
972.95,2024-03-01 09:52:00,NFO,28-MAR-2024,973.25,972.5,972.9,61886325,Futures,TATMOT,51300
972.45,2024-03-01 09:53:00,NFO,28-MAR-2024,973.0,972.45,972.8,61886325,Futures,TATMOT,34200
973.25,2024-03-01 09:54:00,NFO,28-MAR-2024,973.85,972.4,972.45,61903425,Futures,TATMOT,84075
973.45,2024-03-01 09:55:00,NFO,28-MAR-2024,974.4,972.75,972.9,61903425,Futures,TATMOT,61275
