close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,stock_code,volume
3650.8,2024-03-01 09:15:00,NFO,28-MAR-2024,3665.9,3650.8,3661.1,5196100,Futures,TITIND,21000
3647.6,2024-03-01 09:16:00,NFO,28-MAR-2024,3650.8,3645.0,3650.8,5196100,Futures,TITIND,5425
3653.55,2024-03-01 09:17:00,NFO,28-MAR-2024,3653.55,3646.0,3647.6,5196100,Futures,TITIND,5075
3646.05,2024-03-01 09:18:00,NFO,28-MAR-2024,3654.85,3646.05,3653.55,5199950,Futures,TITIND,7000
3650.65,2024-03-01 09:19:00,NFO,28-MAR-2024,3651.8,3646.05,3646.05,5199950,Futures,TITIND,4200
3647.8,2024-03-01 09:20:00,NFO,28-MAR-2024,3650.65,3642.95,3650.65,5199950,Futures,TITIND,9450
3647.0,2024-03-01 09:21:00,NFO,28-MAR-2024,3647.8,3643.55,3647.8,5202750,Futures,TITIND,2625
3652.55,2024-03-01 09:22:00,NFO,28-MAR-2024,3652.55,3645.3,3647.0,5202750,Futures,TITIND,2975
3650.8,2024-03-01 09:23:00,NFO,28-MAR-2024,3653.6,3650.75,3652.55,5202750,Futures,TITIND,3325
3652.0,2024-03-01 09:24:00,NFO,28-MAR-2024,3655.0,3650.8,3650.8,5202225,Futures,TITIND,5600
3652.0,2024-03-01 09:25:00,NFO,28-MAR-2024,3656.75,3652.0,3652.0,5202225,Futures,TITIND,4900
3653.1,2024-03-01 09:26:00,NFO,28-MAR-2024,3656.05,3651.3,3652.0,5202225,Futures,TITIND,4550
3659.6,2024-03-01 09:27:00,NFO,28-MAR-2024,3660.0,3653.0,3653.1,5206775,Futures,TITIND,6650
3654.55,2024-03-01 09:28:00,NFO,28-MAR-2024,3659.95,3654.55,3659.95,5206775,Futures,TITIND,3850
3652.65,2024-03-01 09:29:00,NFO,28-MAR-2024,3655.95,3652.6,3654.55,5206775,Futures,TITIND,3850
3655.15,2024-03-01 09:30:00,NFO,28-MAR-2024,3657.55,3652.65,3652.65,5206600,Futures,TITIND,4200
3657.0,2024-03-01 09:31:00,NFO,28-MAR-2024,3657.2,3655.05,3655.15,5206600,Futures,TITIND,2975
3657.05,2024-03-01 09:32:00,NFO,28-MAR-2024,3657.75,3655.5,3657.0,5206600,Futures,TITIND,2100
3654.55,2024-03-01 09:33:00,NFO,28-MAR-2024,3657.05,3654.05,3657.05,5207300,Futures,TITIND,2100
3658.75,2024-03-01 09:34:00,NFO,28-MAR-2024,3658.75,3654.8,3654.8,5207300,Futures,TITIND,3675
3662.85,2024-03-01 09:35:00,NFO,28-MAR-2024,3663.05,3658.1,3658.75,5207300,Futures,TITIND,3850
